Название,Ссылка,Автор,Издательство,Цена,Размер скидки,Старая цена,Наличие
JavaScript. Карманный справочник,https://www.labirint.ru/books/695677/,Флэнаган Дэвид,Диалектика,1 183 ₽,–40% фиксированная,1 972,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,https://www.labirint.ru/books/604319/,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,1 172 ₽,–40% фиксированная,1 953,Ограничено
Обработка естественного языка на Java,https://www.labirint.ru/books/510714/,Риз Ричард,ДМК-Пресс,1 172 ₽,–40% фиксированная,1 953,На складе
Микросервисы. Паттерны разработки и рефакторинга,https://www.labirint.ru/books/707677/,Ричардсон Крис,Питер: Библиотека программиста,2 128 ₽,–22% фиксированная,2 728,На складе
Классические задачи Computer Science на языке Java,https://www.labirint.ru/books/825303/,Копец Дэвид,Питер: Библиотека программиста,1 545 ₽,–22% фиксированная,1 981,На складе
JavaScript с нуля,https://www.labirint.ru/books/808147/,Чиннатамби Кирупа,Питер: Библиотека программиста,1 545 ₽,–22% фиксированная,1 981,На складе
Разработка обслуживаемых программ на языке Java,https://www.labirint.ru/books/562035/,Виссер Джуст,ДМК-Пресс,1 088 ₽,–40% фиксированная,1 813,Ограничено
Лямбда-выражения в Java 8. Функциональное программирование - в массы,https://www.labirint.ru/books/442834/,Уорбэртон Ричард,ДМК-Пресс: Функциональное программирование,1 004 ₽,–40% фиксированная,1 674,На складе
Разработка приложений Java EE 6 в NetBeans 7,https://www.labirint.ru/books/378980/,Хеффельфингер Дэвид,ДМК-Пресс,1 004 ₽,–40% фиксированная,1 674,На складе
Java EE 7. Основы,https://www.labirint.ru/books/512896/,Гупта Арун,Вильямс,968 ₽,–40% фиксированная,1 613,Ограничено
Java. Эффективное программирование,https://www.labirint.ru/books/420115/,Блох Джошуа,Лори,773 ₽,–50% фиксированная,1 546,На складе
JavaScript и jQuery. Исчерпывающее руководство,https://www.labirint.ru/books/498957/,Макфарланд Дэвид,Эксмо: Мировой компьютерный бестселлер,1 772 ₽,–27% фиксированная,2 427,На складе
South by Java Head,https://www.labirint.ru/books/898254/,MacLean Alistair,Harpercollins,810 ₽,–45% фиксированная,1 473,Ограничено
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,https://www.labirint.ru/books/512906/,Лонг Фрэд и др.,Вильямс,861 ₽,–40% фиксированная,1 435,Ограничено
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",https://www.labirint.ru/books/417792/,Ховард Майкл и др.,ДМК-Пресс,837 ₽,–40% фиксированная,1 395,На складе
JavaScript в примерах и задачах,https://www.labirint.ru/books/602321/,,Эксмо-Пресс: Российский компьютерный бестселлер,1 062 ₽,–27% фиксированная,1 455,На складе
Гид Java-разработчика. Проектно-ориентированный подход,https://www.labirint.ru/books/834110/,"Урма Рауль-Габриэль, Уорбэртон Ричард",Бомбора: Мировой компьютерный бестселлер,819 ₽,–27% фиксированная,1 122,На складе
Программирование на Java для начинающих,https://www.labirint.ru/books/585080/,Васильев Алексей Николаевич,Эксмо-Пресс: Российский компьютерный бестселлер,1 117 ₽,–27% фиксированная,1 530,На складе
Технологии программирования на Java 2. Распределенные приложения,https://www.labirint.ru/books/273130/,Дейтел Харви и др.,Бином,562 ₽,–40% фиксированная,937,На складе
Java SE 8. Вводный курс,https://www.labirint.ru/books/512897/,Хорстманн Кей С.,Вильямс,968 ₽,–40% фиксированная,1 613,Ограничено
Легкий способ выучить Java,https://www.labirint.ru/books/692846/,Пейн Брайсон,Бомбора: Мировой компьютерный бестселлер,1 062 ₽,–27% фиксированная,1 455,На складе
Разработка игр на языке JavaScript. Учебное пособие,https://www.labirint.ru/books/951656/,Беляев Сергей Алексеевич,Лань: Компьютеры и программное обеспечение,870 ₽,–40% фиксированная,1 450,На складе
"97 вещей, о которых должен знать каждый Java-программист",https://www.labirint.ru/books/955617/,Хенни Кевлин,Бомбора: Мировой компьютерный бестселлер,965 ₽,–27% фиксированная,1 322,Предзаказ. Июнь
JavaScript для начинающих,https://www.labirint.ru/books/883430/,МакГрат Майк,Бомбора: Мировой компьютерный бестселлер (обложка),965 ₽,–27% фиксированная,1 322,На складе
Разработка игр на языке JavaScript. Учебное пособие,https://www.labirint.ru/books/771559/,Беляев Сергей Алексеевич,Лань: Компьютеры и программное обеспечение,525 ₽,–40% фиксированная,875,На складе
Технология Java Card для смарт-карт. Архитектура и руководство программиста,https://www.labirint.ru/books/939567/,Чен Жикун,Техносфера: Мир программирования,228 ₽,–50% фиксированная,456,На складе
"Раньше у меня была жизнь, а теперь у меня дети. Хроники неидеального материнства",https://www.labirint.ru/books/649487/,Корнберг Анзель Кандис,"Бомбора: Книги, о которых говорят",280 ₽,–27% фиксированная,384,Ограничено
"Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных",https://www.labirint.ru/books/633862/,"Седжвик Роберт, Уэйн Кевин",Питер,3 437 ₽,,,Ожидается
Модернизация Java Enterprise. Облачные технологии для разработчиков,https://www.labirint.ru/books/956023/,,Питер: Бестселлеры O`Reilly,2 710 ₽,,,Ожидается
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",https://www.labirint.ru/books/565917/,Мартин Роберт С.,Диалектика,Нет в продаже,,,Отсутствует
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,https://www.labirint.ru/books/603633/,Хорстманн Кей С.,Вильямс,Нет в продаже,,,Отсутствует
Java 8. Полное руководство,https://www.labirint.ru/books/512917/,Шилдт Герберт,Вильямс,Нет в продаже,,,Отсутствует
JavaScript для профессиональных веб-разработчиков,https://www.labirint.ru/books/820375/,Фрисби Мэтт,Питер: Для профессионалов,Нет в продаже,,,Отсутствует
Java. Библиотека профессионала. Том 1. Основы,https://www.labirint.ru/books/546466/,Хорстманн Кей С.,Вильямс,Нет в продаже,,,Отсутствует
Язык программирования Java SE 8. Подробное описание,https://www.labirint.ru/books/512952/,Стил Гай и др.,Вильямс,Нет в продаже,,,Отсутствует
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,https://www.labirint.ru/books/512965/,"Хорстманн Кей С., Корнелл Гари",Вильямс,Нет в продаже,,,Отсутствует
Java. Библиотека профессионала. Том 1. Основы,https://www.labirint.ru/books/512919/,"Хорстманн Кей С., Корнелл Гари",Вильямс,Нет в продаже,,,Отсутствует
"Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика",https://www.labirint.ru/books/797578/,Роббинс Дженнифер Нидерст,BHV,Нет в продаже,,,Отсутствует
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",https://www.labirint.ru/books/814493/,Скотт Адам Д.,Питер: Бестселлеры O`Reilly,Нет в продаже,,,Отсутствует
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",https://www.labirint.ru/books/719645/,Урма Рауль-Габриэль и др.,Питер: Для профессионалов,Нет в продаже,,,Отсутствует
JavaScript для профессионалов,https://www.labirint.ru/books/518950/,Резиг Джон и др.,Вильямс,Нет в продаже,,,Отсутствует
Java 8. Руководство для начинающих,https://www.labirint.ru/books/512918/,Шилдт Герберт,Вильямс,Нет в продаже,,,Отсутствует
"Dr. Strange, Surgeon Supreme. Vol. 1. Under The Knife",https://www.labirint.ru/books/828358/,"Waid Mark, Walker Key",Marvel,Нет в продаже,,,Отсутствует
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,https://www.labirint.ru/books/789635/,Браун Итан,Питер: Бестселлеры O`Reilly,Нет в продаже,,,Отсутствует
Секреты JavaScript ниндзя,https://www.labirint.ru/books/512943/,"Резиг Джон, Бибо Беэр",Вильямс,Нет в продаже,,,Отсутствует
